ivestas_pavadinimas,ivestas_kodas,rastas_pavadinimas,kodas,kodo_atitikimas,amzius,starto_data,vadovas,adresas,mobilus_telefonas,tinklalapis
"Individualių gyvenamųjų namų bendrija ""Sėkmės gatvės namai""",305293670,"Individualių gyvenamųjų namų bendrija ""Sėkmės gatvės namai""",305293670,TAIP,6 metai 4 mėnesiai 30 dienų,2019-10-24,"Raimondas Druseikis, pirmininkas","Sėkmės g. 8, Didžiųjų Gulbinų k., LT-14262 Vilniaus r.",+370 601 01117,
Žemaitijos kultūros ir meno vystymo centras,305292928,Žemaitijos kultūros ir meno vystymo centras,305292928,TAIP,,2019-10-21,,"Mokyklos g. 7, Stalgėnų k., LT-90358 Plungės r.",,
Nacionalinė asociacija prieš prekybą žmonėmis,305292465,Nacionalinė asociacija prieš prekybą žmonėmis,305292465,TAIP,6 metai 5 mėnesiai 2 dienos,2019-10-21,Arūnė Bernatonytė,"Kalvarijų g. 125, Vilnius",+370 670 527 25,https://stop-trafficking.lt
"VšĮ ""Ne po vieną""",305292419,"Ne po vieną, VšĮ",305292419,TAIP,6 metai 5 mėnesiai 2 dienos,2019-10-21,,"Savanorių pr. 273, LT-50131 Kaunas",+370 644 60005,http://www.nepoviena.lt
Lietuvos kino industrijos darbuotojų asociacija,305290980,Lietuvos kino industrijos darbuotojų asociacija,305290980,TAIP,,2019-10-18,,Vilnius,,http://www.lkida.lt
"Viešoji įstaiga ""Debesų kiemas""",305290382,"Debesų kiemas, VšĮ",305290382,TAIP,6 metai 5 mėnesiai 6 dienos,2019-10-17,"Kristina Navaruckytė, direktorė","Žemaičių g. 6-54, Panevėžys",+370 601 47588,http://www.debesukiemas.lt
Tajuko labdaros ir paramos fondas,305288933,Tajuko labdaros ir paramos fondas,305288933,TAIP,6 metai 5 mėnesiai 6 dienos,2019-10-17,"Tomas Paltarokas, direktorius","Draugystės g. 2-81, LT-51292 Kaunas",+370 674 40621,
"Daugiabučio namo savininkų bendrija ""Raitininkų sodas""",305288901,"Daugiabučio namo savininkų bendrija ""Raitininkų sodas""",305288901,TAIP,6 metai 5 mėnesiai 7 dienos,2019-10-16,,"Raitininkų g. 4-56, LT-09236 Vilnius",+370 631 24613,
"Asociacija ""Ignalinos krepšinis""",305288890,"Ignalinos krepšinis, asociacija",305288890,TAIP,6 metai 5 mėnesiai 7 dienos,2019-10-16,,"Mokyklos g. 4, Ignalina",+370 654 91141,
"Asociacija ""Tapalis""",305287240,"Tapalis, asociacija",305287240,TAIP,6 metai 5 mėnesiai 6 dienos,2019-10-17,Pirmininkė Jolanta Litvinienė,"Šermukšnių g. 8, Medsėdžių k., Skuodo r.",+370 675 35531,
"VšĮ ""Vikinma""",305286448,"Vikinma, VšĮ",305286448,TAIP,6 metai 5 mėnesiai 8 dienos,2019-10-15,,"H. Manto g. 46-22, LT-92225 Klaipėda",,
Elzės Skeirytės labdaros ir paramos fondas,305283651,Elzės Skeirytės labdaros ir paramos fondas,305283651,TAIP,6 metai 5 mėnesiai 8 dienos,2019-10-15,"Jolita Skeirienė, direktorė","Lankų g. 8, Praulių k., LT-55461 Jonavos r.",+370 610 00765,
"Asociacija ""Aplink Žaslius""",305282396,"Aplink Žaslius, asociacija",305282396,TAIP,6 metai 5 mėnesiai 13 dienų,2019-10-10,"Justinas Dekas, pirmininkas","Šilo g. 26, Guronių k., LT-56421 Kaišiadorių r.",+370 640 12560,http://www.zasliai.lt
313 kuopa VšĮ,305281999,"313 kuopa, VšĮ",305281999,TAIP,6 metai 5 mėnesiai 15 dienų,2019-10-10,"Algirdas Stripinis, direktorius","Panevėžio g. 25A-15, Klaipėda",+370 683 91385,
"Daugiabučio namo savininkų bendrija ""Stangė""",305281700,"Daugiabučio namo savininkų bendrija ""Stangė""",305281700,TAIP,6 metai 5 mėnesiai 9 dienos,2019-10-14,"Zita Kulakauskienė, pirmininkas","Vilniaus g. 48-3, Merkinė, LT-65338 Varėnos r.",+370 620 39567,
"VšĮ ""Kelionė į pergalę""",305281561,"Kelionė į pergalę, VšĮ",305281561,TAIP,6 metai 5 mėnesiai 12 dienų,2019-10-11,"Tomas Degutis, direktorius","Šeštokų g. 35-1, LT-46426 Kaunas",+370 656 75767,
"Viešoji įstaiga sporto klubas ""Intelektualus aktyvumas""",305281337,"Sporto klubas ""Intelektualus aktyvumas"", VšĮ",305281337,TAIP,6 metai 5 mėnesiai 12 dienų,2019-10-11,"Benas Kuzmickas, direktorius","Molainių g. 12-30, Panevėžys",+370 653 87531,
Dusetų bendruomenė,305281209,Dusetų bendruomenė,305281209,TAIP,6 metai 5 mėnesiai 12 dienų,2019-10-11,"Agnė Šukštulytė-Pacevičė, pirmininkas","K. Būgos g. 4-1, Dusetos, LT-32304 Zarasų r.",+370 620 92448,
"Sportinės ir mėgėjų žūklės klubas ""Vaivoras""",305281180,"Sportinės ir mėgėjų žūklės klubas ""Vaivoras""",305281180,TAIP,6 metai 5 mėnesiai 12 dienų,2019-10-11,"Kęstutis Dijokas, prezidentas","Meistrų g. 12, LT-02189 Vilnius",+370 630 09332,
Ukmergės krikščionių baptistų bažnyčia,305279471,Ukmergės krikščionių baptistų bažnyčia,305279471,TAIP,6 metai 5 mėnesiai 15 dienų,2019-10-08,"Zita Butkutė, administratorius","Gedimino g. 4-6, Ukmergė",+370 676 42845,
"VšĮ ""Kauno lietaus vaikai""",305278750,"Kauno lietaus vaikai, VšĮ",305278750,TAIP,6 metai 5 mėnesiai 15 dienų,2019-10-08,"Loreta Mickūnaitė, direktorė","A. Juozapavičiaus pr. 21A-23, LT-45256 Kaunas",+370 633 15840,http://pagalbavisoslietuvosseimoms.com
"VšĮ ""Estradėja""",305278615,"Estradėja, VšĮ",305278615,TAIP,6 metai 5 mėnesiai 15 dienų,2019-10-08,Ingrida Voložaninienė,"V. Nagevičiaus g. 3, Vilnius",+370 675 86528,http://www.estradeja.lt
Gaudijos vaišnavų religinė bendruomenė,305278444,Gaudijos vaišnavų religinė bendruomenė,305278444,TAIP,6 metai 5 mėnesiai 9 dienos,2019-10-14,"Žilvinas Užkuraitis, prezidentas","Klaipėdos g. 9, Naujųjų Lažų k., LT-58315 Kėdainių r.",+370 689 63281,http://www.gaudijosvaisnavai.lt/
"VšĮ ""Žemaitijos keliais""",305278387,"Žemaitijos keliais, VšĮ",305278387,TAIP,6 metai 5 mėnesiai 16 dienų,2019-10-07,"Kazimieras Žemaitis Kerpauskas, direktorius","Liepų gatvė 9, Jėrubaičių km., LT-90272 Plungės r.",+370 624 00084,https://zemaitijoskeliais.lt/
Asociacija Naujosios Vilnios salės futbolo klubas,305277513,"Naujosios Vilnios salės futbolo klubas, asociacija",305277513,TAIP,6 metai 5 mėnesiai 18 dienų,2019-10-07,,"Audronės g. 14, LT-11105 Vilnius",+370 605 55353,
"Viešoji įstaiga ""Už savus""",305277506,"Už savus, VšĮ",305277506,TAIP,6 metai 5 mėnesiai 16 dienų,2019-10-07,RAIMONDA KONTAUTAITĖ,"Naujakiemio g. 19-2, Vilnius",+370 611 20282,
"VšĮ ""Pokyčių vėjas""",305276087,"Pokyčių vėjas, VšĮ",305276087,TAIP,6 metai 5 mėnesiai 19 dienų,2019-10-04,"Mantas Januševičius, direktorius","Maironio g. 9A-42, Radviliškis",+370 607 63258,
VšĮ Biržų teniso klubas,305276030,"Biržų teniso klubas, VšĮ",305276030,TAIP,6 metai 5 mėnesiai 19 dienų,2019-10-04,"Valdas Budriūnas, direktorius","Respublikos g. 62-11, LT-41143 Biržai",+370 689 59285,
Namų Česlovo Milošo g. Geležiuose savininkų bendrija,305274392,Namų Česlovo Milošo g. Geležiuose savininkų bendrija,305274392,TAIP,6 metai 5 mėnesiai 19 dienų,2019-10-04,"Jurij Bugajev, pirmininkas","Česlovo Milošo g. 12E-2, Geležių k., LT-14168 Vilniaus r.",+370 699 81695,
Viešoji įstaiga Sostinės dailiojo čiuožimo mokykla,305274385,"Sostinės dailiojo čiuožimo mokykla, VšĮ",305274385,TAIP,6 metai 5 mėnesiai 20 dienų,2019-10-03,"Sandra Ruikaitė, direktorė","Rinktinės g. 42-30, LT-09316 Vilnius",+370 646 45489,
"VšĮ ""Ars futuri""",305271510,"Ars futuri, VšĮ",305271510,TAIP,6 metai 5 mėnesiai 22 dienos,2019-10-01,"Asta Ivanauskienė, direktorė","Nemuno g. 37-6, LT-44288 Kaunas",+370 616 37085,
"Tomos šokio ir mados namai, asociacija",305271439,"Tomos šokio ir mados namai, asociacija",305271439,TAIP,6 metai 5 mėnesiai 22 dienos,2019-10-01,"Toma Veignerienė, direktorė","Dubijos g. 31-14, LT-77137 Šiauliai",+370 684 06524,
"Viešoji įstaiga ""Andriaus Gasparavičiaus boulingo mokykla""",305268838,"Andriaus Gasparavičiaus boulingo mokykla, VšĮ",305268838,TAIP,6 metai 5 mėnesiai 19 dienų,2019-10-04,Andrius Gasparavičius,"Viršilų g. 13-86, Vilnius",+370 655 77707,http://www.agbowling.lt
"VšĮ ""Rudamina""",305268770,"Rudamina, VšĮ",305268770,TAIP,6 metai 5 mėnesiai 22 dienos,2019-10-03,"Lina Venslovienė, direktorė","Gamyklos g. 32-27, Rudaminos k., LT-13250 Vilniaus r.",+370 674 24774,
Vilniaus rajono autobusų parko profesinė sąjunga,305268592,Vilniaus rajono autobusų parko profesinė sąjunga,305268592,TAIP,6 metai 5 mėnesiai 21 diena,2019-10-02,"Grigorij Jodagalvis, pirmininkas","Parko g. 34-5, LT-11215 Vilnius",+370 683 27502,
"Asociacija ""1 šūvis""",305268546,"1 šūvis, asociacija",305268546,TAIP,6 metai 5 mėnesiai 22 dienos,2019-10-01,,"Minties g. 10-29, LT-09225 Vilnius",+370 652 43634,
VšĮ Vilniaus psichoterapijos namai,305267992,"Vilniaus psichoterapijos namai, VšĮ",305267992,TAIP,6 metai 5 mėnesiai 26 dienos,2019-09-27,"Laima Matutienė, direktorė","K. Kalinausko g. 2A-14, Vilnius",+370 612 62421,
"VšĮ ""Įkvėpimai""",305264868,"Įkvėpimai, VšĮ",305264868,TAIP,6 metai 5 mėnesiai 22 dienos,2019-10-01,"Agnesta Filatovė, direktorė","Vilkpėdės g. 22, Vilnius",+370 682 18527,http://www.ikvepimai.lt
"VšĮ ""Optimalus tikslas""",305264843,"Optimalus tikslas, VšĮ",305264843,TAIP,6 metai 5 mėnesiai 22 dienos,2019-10-01,,"Alinkos g. 1B-2, Elektrėnai",+370 699 56460,
"VšĮ Karate klubas ""Wazari""",305264804,"Karate klubas ""Wazari"", VšĮ",305264804,TAIP,6 metai 5 mėnesiai 22 dienos,2019-10-01,"Mantas Kazlauskas, direktorius","Pušyno g. 20, Giraitės k., Kauno r.",+370 655 40171,
Asociacija Šilalės medžiotojų ir žvejų draugija,305264537,"Šilalės medžiotojų ir žvejų draugija, asociacija",305264537,TAIP,6 metai 5 mėnesiai 28 dienos,2019-09-27,"Kęstutis Buja, pirmininkas","Dariaus ir Girėno g. 24A-3, Pajūris, LT-75287 Šilalės r.",+370 682 35715,
"VšĮ ""Sporto genas""",305264487,"Sporto genas, VšĮ",305264487,TAIP,6 metai 5 mėnesiai 27 dienos,2019-09-26,"Martynas Arlauskas, direktorius","Linksmoji g. 67-21, LT-11230 Vilnius",+370 683 33990,
"Pastatų savininkų bendrija ""Ekovilis""",305262162,"Pastatų savininkų bendrija ""Ekovilis""",305262162,TAIP,6 metai 5 mėnesiai 26 dienos,2019-09-27,,"Elektrėnų g. 81, Belezų k., LT-21331 Elektrėnai",+370 620 77777,
Tradicinių šokių draugija,305262080,Tradicinių šokių draugija,305262080,TAIP,6 metai 5 mėnesiai 28 dienos,2019-09-25,,"Skersinės Sodų 7-oji g. 13, Vilnius",+370 620 31538,
"VšĮ Biržų rajono socialinių paslaugų centro darbuotojų profesinė sąjunga ""Solidarumas""",305262041,"Biržų rajono socialinių paslaugų centro darbuotojų profesinė sąjunga ""Solidarumas"", VšĮ",305262041,TAIP,6 metai 5 mėnesiai 26 dienos,2019-09-27,,"Ulonų g. 5-301, LT-08240 Vilnius",+370 610 14937,
"Dziudo klubas ""Čempionas""",305261459,"Dziudo klubas ""Čempionas""",305261459,TAIP,6 metai 5 mėnesiai 29 dienos,2019-09-24,Mantas Labalaukis,"Trūkiškio g. 9, Gailiūnų k., Druskininkai",+370 601 60527,
"VšĮ ""VertiMedia""",305261434,"Vertimedia, VšĮ",305261434,TAIP,6 metai 5 mėnesiai 29 dienos,2019-09-24,"Karolis Bagdonas, vadovas","Perkūnkiemio g. 13-91, Vilnius",+370 677 88127,
Juozo Kavaliausko atminimo paramos fondas,305261384,Juozo Kavaliausko atminimo paramos fondas,305261384,TAIP,6 metai 5 mėnesiai 28 dienos,2019-09-25,"Rita Kavaliauskienė, direktorius","A. Domaševičiaus g. 9, Vilnius",+370 5 2644741,
Klaipėdos miesto šachmatų federacija,305260873,Klaipėdos miesto šachmatų federacija,305260873,TAIP,6 metai 5 mėnesiai 28 dienos,2019-09-25,"Valentinas Rumiancevas, prezidentas","Baltijos pr. 69-64, Klaipėda",+370 600 85296,
Lietuvos samariečių bendrijos Kauno rajono skyrius,305260535,Lietuvos samariečių bendrijos Kauno rajono skyrius,305260535,TAIP,6 metai 6 mėnesiai,2019-09-23,"Paulius Žiūkas, pirmininkas","Gojaus g. 14, Pagynė, LT-54323 Kauno r.",+370 679 01250,
"Asociacija ""Futbolo profesionalai""",305260453,"Futbolo profesionalai, asociacija",305260453,TAIP,6 metai 6 mėnesiai 3 dienos,2019-09-20,"Ernestas Pilypas, direktorius","Kviečių g. 8-7, LT-78412 Šiauliai",+370 630 58109,
"VšĮ ""Miško trobelė""",305257628,"Miško trobelė, VšĮ",305257628,TAIP,6 metai 6 mėnesiai 3 dienos,2019-09-20,"Eglė Marija Ramanauskaitė, direktorė","Lipinos k. 1, Lipinos k., Švenčionių r.",+370 672 27885,http://miskotrobele.lt
"Viešoji įstaiga ""Drąsa augti""",305257578,"Drąsa augti, VšĮ",305257578,TAIP,6 metai 6 mėnesiai 4 dienos,2019-09-19,,"K. Donelaičio g. 33-1, LT-44240 Kaunas",+370 678 13236,
"Medžiotojų klubas ""Nemunaičio girios""",305257464,"Medžiotojų klubas ""Nemunaičio girios""",305257464,TAIP,6 metai 6 mėnesiai 4 dienos,2019-09-19,"Valdas Graževičius, prezidentas","Alytaus g. 10, Kalnėnų k., LT-64206 Alytaus r.",+370 682 63998,
"VšĮ ""Sąmoninga kūryba""",305256394,"Sąmoninga kūryba, VšĮ",305256394,TAIP,6 metai 6 mėnesiai 5 dienos,2019-09-18,"Lina Rudaitienė, direktorė","Sorbų g. 8-1, Vilnius",+370 618 65337,
"Panevėžio miesto ir rajono tautodailininkų asociacija ""Pantautodailė""",305254895,"Panevėžio miesto ir rajono tautodailininkų asociacija ""Pantautodailė""",305254895,TAIP,6 metai 6 mėnesiai 6 dienos,2019-09-17,"Vida Mikoliūnienė, pirmininkas","Taikos al. 11, LT-35148 Panevėžys",+370 687 93953,
"UAB ""Alytaus šilumos tinklai"" darbuotojų profesinė sąjunga",305254315,"UAB ""Alytaus šilumos tinklai"" darbuotojų profesinė sąjunga",305254315,TAIP,6 metai 6 mėnesiai 4 dienos,2019-09-19,"Romas Šimelevičius, pirmininkas","Energetikų g. 10, LT-62175 Alytus",+370 655 45056,
"VšĮ ""Begemotas""",305253576,"Begemotas, VšĮ",305253576,TAIP,6 metai 6 mėnesiai 6 dienos,2019-09-17,"Roberta Stonkutė, direktorė","Aušros al. 37-30, Šiauliai",+370 623 89459,
Muitinės praktikų asociacija,305252887,Muitinės praktikų asociacija,305252887,TAIP,6 metai 6 mėnesiai 7 dienos,2019-09-16,"Enrika Naujokė, direktorė","Marių g. 17, Klaipėda",+370 644 65553,https://www.lcpa.lt/lt
"VšĮ ""Kūrybiška edukacija""",305251949,"Kūrybiška edukacija, VšĮ",305251949,TAIP,6 metai 6 mėnesiai 10 dienų,2019-09-13,"Kotryna Gurskaitė, direktorė","Mindaugo g. 23A-34, LT-03231 Vilnius",+370 648 76581,
"Asociacija ""Zuikiškės kaimas""",305250765,"Zuikiškės kaimas, asociacija",305250765,TAIP,6 metai 6 mėnesiai 10 dienų,2019-09-13,"Rimantas Ališauskas, prezidentas","Zuikiškės k. 4, Zuikiškės k., LT-30193 Ignalinos r.",+370 687 56567,
Skuodo teniso klubas,305250683,Skuodo teniso klubas,305250683,TAIP,6 metai 6 mėnesiai 11 dienų,2019-09-12,"Tomas Brazdeikis, prezidentas","Mosėdžio g. 13A-7, LT-98120 Skuodas",+370 652 96556,http://skuodotenisas.weebly.com
"VšĮ ""Aktualios muzikos projektai""",305250587,"Aktualios muzikos projektai, VšĮ",305250587,TAIP,6 metai 6 mėnesiai 13 dienų,2019-09-12,Matas Drukteinis,"Kauno g. 30-427, LT-03202 Vilnius",+370 656 33768,
"VšĮ Mediacijos ir edukacijos centras ""Mediare""",305250530,"Mediacijos ir edukacijos centras ""Mediare"", VšĮ",305250530,TAIP,6 metai 6 mėnesiai 11 dienų,2019-09-12,"Jolanta Tupko-Mazur, direktorė","Gudų g. 18-1, Vilnius",+370 618 06186,http://www.mediare.lt
"Krepšinio klubas ""Tritaškis""",305250427,"Krepšinio klubas ""Tritaškis""",305250427,TAIP,6 metai 6 mėnesiai 11 dienų,2019-09-12,"Mindaugas Krauza, prezidentas","Vaišlaukio g. 9A, Vaišlaukio k., Kelmės r.",+370 625 01767,
Daugiabučio namo savininkų bendrija GARDINO G. 35,305249898,Daugiabučio namo savininkų bendrija Gardino g. 35,305249898,TAIP,6 metai 6 mėnesiai 11 dienų,2019-09-12,Gitana Svirskaitė,"Gardino g. 35, LT-66196 Druskininkai",+370 620 47327,
Degaičių Šv. Apaštalų Petro ir Pauliaus parapija,305248433,Degaičių Šv. Apaštalų Petro ir Pauliaus parapija,305248433,TAIP,6 metai 6 mėnesiai 12 dienų,2019-09-11,"Juozas Šiurys, klebonas","Degaičių g. 7, Degaičių k., LT-88103 Telšių r.",+370 687 85993,
Lietuvos ledo jachtų ir vėjaračių asociacija,305247908,Lietuvos ledo jachtų ir vėjaračių asociacija,305247908,TAIP,6 metai 6 mėnesiai 12 dienų,2019-09-11,"Matas Mizgiris, prezidentas","J. Basanavičiaus g. 62, LT-97125 Kretinga",+370 618 81957,
Daugiabučio gyvenamojo namo S. Žukausko g. 47 Vilniuje savininkų bendrija,305247445,Daugiabučio gyvenamojo namo S. Žukausko g. 47 Vilniuje savininkų bendrija,305247445,TAIP,6 metai 6 mėnesiai 12 dienų,2019-09-11,"Laima Savanevičienė, pirmininkas","S. Žukausko g. 47-30, Vilnius",+370 686 73702,
"Sportinio pokerio klubas ""Akmeninis čirvas""",305246941,"Sportinio pokerio klubas ""Akmeninis čirvas""",305246941,TAIP,6 metai 6 mėnesiai 13 dienų,2019-09-10,"Donatas Bartkus, direktorius","Partizanų g. 61-806, LT-49282 Kaunas",+370 650 32298,
"VšĮ ""Bekelės komanda""",305246464,"Bekelės komanda, VšĮ",305246464,TAIP,6 metai 6 mėnesiai 14 dienų,2019-09-09,"Justinas Putys, direktorius","Kairėnų g. 61C, Vilnius",+370 615 73447,
Kauno sportinių bepiločių orlaivių modeliuotojų klubas,305245921,Kauno sportinių bepiločių orlaivių modeliuotojų klubas,305245921,TAIP,,2019-09-09,,"Gimtinės g. 21-5, Užliedžių k., Kauno r.",,
"Asociacija ""Socialinis efektas""",305244449,"Socialinis efektas, asociacija",305244449,TAIP,6 metai 6 mėnesiai 18 dienų,2019-09-05,"Linas Staršelskis, prezidentas","Gedimino g. 47, R1, LT-44242 Kaunas",+370 636 22116,
Viešoji įstaiga Šiaulių psichologinių paslaugų centras,305244431,"Šiaulių psichologinių paslaugų centras, VšĮ",305244431,TAIP,6 metai 6 mėnesiai 18 dienų,2019-09-05,Erika Butėnienė,"Vydūno g. 67, Kuršėnai, Šiaulių r.",+370 611 46464,
Sostinės futbolo akademija,305243532,Sostinės futbolo akademija,305243532,TAIP,6 metai 6 mėnesiai 21 diena,2019-09-04,Valdemar Šaveiko,"Saulės g. 4-27, Anavilio k., LT-14271 Vilniaus r.",+370 672 62785,http://www.vytisakademija.lt
"Klubas ""Aliens MC Lithuania""",305243240,"Klubas ""Aliens MC Lithuania""",305243240,TAIP,6 metai 6 mėnesiai 13 dienų,2019-09-10,"Alvydas Krukonis, pirmininkas","Simono Sutkaus g. 28, Mikytų k., Šakių r.",+370 698 20724,
Nacionalinė kolekcininkų asociacija,305243016,Nacionalinė kolekcininkų asociacija,305243016,TAIP,6 metai 6 mėnesiai 18 dienų,2019-09-05,"Renaldas Stauskas, prezidentas","Raudondvario pl. 101A-3, LT-47184 Kaunas",+370 650 33299,
Jurgio Šaulio draugija,305242074,Jurgio Šaulio draugija,305242074,TAIP,6 metai 6 mėnesiai 18 dienų,2019-09-05,"Gintarė Sargūnaitė, pirmininkas","Treniotos g. 8, Gargždai, Klaipėdos r.",+370 682 33240,
Jurgiškių bendruomenė,305241937,Jurgiškių bendruomenė,305241937,TAIP,6 metai 6 mėnesiai 20 dienų,2019-09-03,"Edita Jurčienė, pirmininkas","Topolių g. 7-31, Alytus",+370 675 97444,
Asociacija Sunkiosios muzikos klubas,305241912,"Sunkiosios muzikos klubas, asociacija",305241912,TAIP,6 metai 6 mėnesiai 22 dienos,2019-09-03,"Igoris Brunko, prezidentas","Vilniaus g. 18, LT-62112 Alytus",+370 632 21253,
"VšĮ ""Efrekas""",305241759,"Efrekas, VšĮ",305241759,TAIP,6 metai 6 mėnesiai 20 dienų,2019-09-03,"Arnoldas Jarašius, direktorius","Lieporių g. 11-36, LT-78300 Šiauliai",+370 651 96585,
Asociacija Mažeikių veteranų sporto klubas,305241741,"Mažeikių veteranų sporto klubas, asociacija",305241741,TAIP,6 metai 6 mėnesiai 22 dienos,2019-09-03,,"Pušų g. 17, Mažeikiai",+370 686 75382,
"VšĮ ""Jau""",305241556,"VšĮ ""Jau""",305241556,TAIP,,2019-09-03,,"Vyrių Sodų 1-oji g. 23, LT-10153 Vilnius",,
"Sporto klubas ""Motosportas"", asociacija",305241111,"Sporto klubas ""Motosportas"", asociacija",305241111,TAIP,6 metai 6 mėnesiai 20 dienų,2019-09-03,,"Liepų g. 67, Gindulių k., LT-91284 Klaipėdos r.",+370 607 56600,
"Gargždų pirminės sveikatos priežiūros centro darbuotojų profesinė sąjunga ""Solidarumas""",305241047,"Gargždų pirminės sveikatos priežiūros centro darbuotojų profesinė sąjunga ""Solidarumas""",305241047,TAIP,6 metai 6 mėnesiai 19 dienų,2019-09-04,,"Ulonų g. 5-301, LT-08240 Vilnius",+370 677 22433,
"Labdaros ir paramos fondas ""Jokūbo kopėčios""",305240988,"Jokūbo kopėčios, labdaros ir paramos fondas",305240988,TAIP,6 metai 6 mėnesiai 20 dienų,2019-09-03,Jūratė Rutkė,"Pušyno g. 23, LT-28215 Utena",+370 665 22795,
"VšĮ ""Rainos svajonės""",305239929,"Rainos svajonės, VšĮ",305239929,TAIP,6 metai 6 mėnesiai 24 dienos,2019-08-30,"Žydrūnas Rainys, direktorius","Vytenio g. 31E-5, Marijampolė",+370 686 87533,
"VšĮ Krepšinio klubas ""Nevėžis""",305239879,"Krepšinio klubas ""Nevėžis"", VšĮ",305239879,TAIP,6 metai 6 mėnesiai 24 dienos,2019-08-30,"Aurimas Žemaitis, direktorius","Ugniagesių g. 12, Vilnius",+370 679 88907,
Verslo ir svetingumo profesinės karjeros centras,305239644,Verslo ir svetingumo profesinės karjeros centras,305239644,TAIP,6 metai 6 mėnesiai 26 dienos,2019-08-30,"Saulius Zybartas, direktorius","Žirmūnų g. 143-401, Vilnius",+370 5 2776712,http://www.vesk.lt
VšĮ Nacionalinė rankinio akademija,305239441,"Nacionalinė rankinio akademija, VšĮ",305239441,TAIP,6 metai 6 mėnesiai 25 dienos,2019-08-29,"Miglius Astrauskas, direktorius","Astrų g. 5, Ražių k., LT-54340 Kauno r.",+370 682 39293,
VšĮ Elektrėnų vandens slidinėjimo klubas,305239427,"Elektrėnų vandens slidinėjimo klubas, VšĮ",305239427,TAIP,6 metai 6 mėnesiai 25 dienos,2019-08-29,"Danas Poderis, direktorius","Prūdžionių k. 1A, Prūdžionių k., Elektrėnai",+370 698 34443,
"VšĮ ""Stebuklingi draugai LT""",305239391,"Stebuklingi draugai LT, VšĮ",305239391,TAIP,6 metai 6 mėnesiai 25 dienos,2019-08-29,"Ugnė Nedzinskaitė, direktorė","Šakių g. 46, Jančių k., LT-71229 Šakių r.",+370 658 46499,
"Asociacija ""Sūkurio"" bendruomenė",305238446,"""Sūkurio"" bendruomenė, asociacija",305238446,TAIP,6 metai 6 mėnesiai 28 dienos,2019-08-28,"Norbertas Sereika, direktorius","Sūkurio g. 35, Papiškių k., LT-06292 Vilniaus r.",+370 644 22220,
"VšĮ ""Kūrybinių industrijų projektai""",305238072,"Kūrybinių industrijų projektai, VšĮ",305238072,TAIP,6 metai 6 mėnesiai 26 dienos,2019-08-30,"Antanas Kamenskas, direktorius","Lvivo g. 13-12, Vilnius",+370 611 59862,
Nacionalinė švietimo agentūra,305238040,Nacionalinė švietimo agentūra,305238040,TAIP,6 metai 6 mėnesiai 24 dienos,2019-08-30,Simonas Šabanovas,"K. Kalinausko g. 7, LT-03107 Vilnius",+370 658 18504,https://www.nsa.smm.lt/
"Tinklinio klubas ""Ginsta""",305237942,"Tinklinio klubas ""Ginsta""",305237942,TAIP,6 metai 6 mėnesiai 26 dienos,2019-08-28,"Gintautas Stanevičius, pirmininkas","Parko g. 4, Ruponių k., Pakruojo r.",+370 628 05451,
Viešosios įstaigos Vilniaus miesto klinikinės ligoninės darbuotojų profesinė sąjunga,305237935,Viešosios įstaigos Vilniaus miesto klinikinės ligoninės darbuotojų profesinė sąjunga,305237935,TAIP,6 metai 6 mėnesiai 26 dienos,2019-08-28,,"Antakalnio g. 57, LT-10207 Vilnius",+370 600 25801,
VšĮ Mįsliaus dirbtuvės,305237472,"Mįsliaus dirbtuvės, VšĮ",305237472,TAIP,6 metai 6 mėnesiai 27 dienos,2019-08-27,Aurelija Milkitienė,"Bajorų kel. 7A-61, LT-08459 Vilnius",+370 616 88940,https://www.misliausdirbtuves.lt/
"Labdaros ir paramos fondas ""Taduko svajonės""",305236954,"Taduko svajonės, labdaros ir paramos fondas",305236954,TAIP,6 metai 6 mėnesiai 28 dienos,2019-08-26,"Neringa Rygelienė, direktorė","J. Ambrazevičiaus-Brazaičio g. 11-24, LT-68160 Marijampolė",+370 653 37561,
"Asociacija ""Kėdainių samariečiai""",305236908,"Kėdainių samariečiai, asociacija",305236908,TAIP,6 metai 6 mėnesiai 28 dienos,2019-08-26,"Pirmininkas, Sonata Patkauskaitė","Senoji g. 3, LT-57248 Kėdainiai",+370 624 90893,http://www.kedainiusamarieciai.lt/
"VšĮ ""Šokių buveinė""",305236744,"Šokių buveinė, VšĮ",305236744,TAIP,6 metai 6 mėnesiai 24 dienos,2019-08-30,"Mantas Navickas, direktorius","Sakalų g. 13, Sergeičikų II k., Kauno r.",+370 686 06995,
Viešoji įstaiga Vilniaus sportinio boulingo klubas,305236616,"Vilniaus sportinio boulingo klubas, VšĮ",305236616,TAIP,,2019-08-28,,"Dvarelio g. 49, Gudelių k., Vilniaus r.",,https://bowlingproshop.lt
"Kauno r. Akademijos mokykla-darželis ""Gilė""",305236534,"Kauno r. Akademijos mokykla-darželis ""Gilė""",305236534,TAIP,6 metai 6 mėnesiai 27 dienos,2019-08-27,"Jurgita Kuzinevičiūtė, direktorė","Studentų g. 3, Akademija, Kauno r.",+370 676 40054,
